mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
Snord35a	7	SNORD35A	19
Wfs1	5	WFS1	4
E130311K13Rik	3	C3orf33	3
Zpr1	9	ZPR1	11
Ahrr	13	AHRR	5
Syngr4	7	SYNGR4	19
Ryr1	7	RYR1	19
Paqr7	4	PAQR7	1
Bbof1	12	BBOF1	14
Garre1	7	GARRE1	19
Tlx1	19	TLX1	10
Vwa3a	7	VWA3A	16
Mir375	1	MIR375	2
Mrps5	2	MRPS5	2
Usp2	9	USP2	11
Exosc2	2	EXOSC2	9
Rmnd1	10	RMND1	6
Rnf220	4	RNF220	1
Prl8a8	13	PRL	6
Olfr1506	2	OR4X2	11
Stmn4	14	STMN4	8
Slc2a7	4	SLC2A7	1
Clec2m	6	KLRC1	12
Clec2m	6	KLRC2	12
Clec2m	6	KLRC4	12
Hectd4	5	HECTD4	12
Foxred1	9	FOXRED1	11
Topbp1	9	TOPBP1	3
Olfr681	7	OR56A3	11
Lhx6	2	LHX6	9
Agrn	4	AGRN	1
Olfr446	6	OR2A12	7
1700029J07Rik	8	C4orf47	4
Lonp1	17	LONP1	19
Hgs	11	HGS	17
Abcb10	8	ABCB10	1
Olfr1222	2	OR4C15	11
Kank3	17	KANK3	19
Ffar3	7	GPR42	19
Gdpd4	7	GDPD4	11
Dhx30	9	DHX30	3
Nat14	7	NAT14	19
Ugp2	11	UGP2	2
Nr2c2	6	NR2C2	3
Shq1	6	SHQ1	3
Olfr554	7	OR52M1	11
Lsg1	16	LSG1	3
Kcnh2	5	KCNH2	7
Wdr47	3	WDR47	1
Tex101	7	TEX101	19
6430628N08Rik	4	TMEM275	1
Chst10	1	CHST10	2
Prss56	1	PRSS56	2
Foxr1	9	FOXR1	11
Noxo1	17	NOXO1	16
Adam32	8	ADAM32	8
Lgals7	7	LGALS7B	19
Lgals7	7	LGALS7	19
Patj	4	PATJ	1
Zbtb32	7	ZBTB32	19
Wif1	10	WIF1	12
Ttc39a	4	TTC39A	1
Ero1b	13	ERO1B	1
Capn5	7	CAPN5	11
Osbpl10	9	OSBPL10	3
Foxp4	17	FOXP4	6
Amigo2	15	AMIGO2	12
Rnpc3	3	RNPC3	1
Pdcd4	19	PDCD4	10
Pcdhgc4	18	PCDHGC4	5
B3gat3	19	B3GAT3	11
Napsa	7	NAPSA	19
Prmt6	3	PRMT6	1
H2bc22	13	H2BC14	6
Zfp608	18	ZNF608	5
Ndufa7	17		19
Ndufa7	17	NDUFA7	19
Olfr1461	19	OR5B3	11
Dync1i1	6	DYNC1I1	7
Defb30	14	DEFB135	8
Mtr	13	MTR	1
Pmel	10	PMEL	12
Mtss1	15	MTSS1	8
Ccl24	5	CCL24	7
Efhd1	1	EFHD1	2
Rack1	11	RACK1	5
Zfp423	8	ZNF423	16
Prl7c1	13	PRL	6
Gpr25	1	GPR25	1
Olfr815	10	OR6C70	12
B230219D22Rik	13	C5orf24	5
Atp2c2	8	ATP2C2	16
Olfr875	9	OR8B12	11
Gm22317	12	RNVU1-1	1
Gm22317	12	RNVU1-31	1
Ndrg4	8	NDRG4	16
Mblac2	13	MBLAC2	5
Zmiz1	14	ZMIZ1	10
Mier3	13	MIER3	5
Ncmap	4	NCMAP	1
Gm24521	19	RNU6-1310P	1
Gm24521	19	RNU6-1031P	1
Mpnd	17	MPND	19
Mroh6	15	MROH6	8
Apoc1	7	APOC1	19
Slc13a2	11	SLC13A2	17
Zeb2	2	ZEB2	2
Klri2	6	KLRC1	12
Klri2	6	KLRC2	12
Klri2	6	KLRC4	12
Fam189a1	7	FAM189A1	15
Cfap57	4	CFAP57	1
Gm22251	18	RNU6-787P	3
Ferd3l	12	FERD3L	7
Trpc1	9	TRPC1	3
Fndc4	5	FNDC4	2
Fbxo3	2	FBXO3	11
Apaf1	10	APAF1	12
Nsl1	1	NSL1	1
Mir29b-2	1	MIR29B2	1
Mr1	1	MR1	1
Pramel35	5	PRAMEF12	1
Pramel35	5	PRAMEF15	1
Pramel35	5	PRAMEF14	1
Pramel35	5	PRAMEF19	1
Pramel35	5	PRAMEF17	1
Pramel35	5	PRAMEF20	1
Pramel35	5	PRAMEF27	1
Pramel35	5	PRAMEF25	1
Pramel35	5	PRAMEF9	1
Pramel35	5	PRAMEF26	1
D7Ertd443e	7	C10orf90	10
H2-Ab1	17	HLA-DQB1	6
Fam187a	11	FAM187A	17
Cnst	1	CNST	1
Olfr300-ps1	7	OR14C36	1
Apobec2	17	APOBEC2	6
H2bc14	13	H2BC5	6
Psma6	12	PSMA6	14
Tlr5	1	TLR5	1
Sprtn	8	SPRTN	1
Gm25698	11	RNU6-31P	2
Cpne4	9	CPNE4	3
Lilra6	7	LILRA6	19
Lilra6	7	LILRB5	19
Lilra6	7	LILRB3	19
Lilra6	7	LILRA5	19
Lilra6	7	LILRA4	19
Kir3dl1	X	KIR2DL4	19
Kir3dl1	X	KIR3DL3	19
Gata2	6	GATA2	3
Fam240b	13	FAM240B	9
Glt8d1	14	GLT8D1	3
Zfp647	15	ZNF250	8
Mc1r	8	MC1R	16
Slc20a1	2	SLC20A1	2
Ngly1	14	NGLY1	3
Rrm2	12	RRM2	2
Sh2d2a	3	SH2D2A	1
Tomm40	7	TOMM40	19
Cacna2d2	9	CACNA2D2	3
Tapbp	17	TAPBP	6
Ltbr	6	LTBR	12
Ubxn4	1	UBXN4	2
C1ql1	11	C1QL1	17
Myef2	2	MYEF2	15
Fbln7	2	FBLN7	2
Fam89b	19	FAM89B	11
Mnx1	5	MNX1	7
Pik3r4	9	PIK3R4	3
Ptp4a2	4	PTP4A2	1
Kmt2d	15		12
Kmt2d	15	KMT2D	12
Olfr1123	2	OR10AG1	11
Ptpn22	3	PTPN22	1
Slc3a2	19	SLC3A2	11
Olfr808	10	OR6C65	12
Pias3	3	PIAS3	1
Olfr1082	2	OR8K3	11
Zfp771	7	ZNF771	16
Nmbr	10	NMBR	6
Fxyd4	6	FXYD4	10
Sstr5	17	SSTR5	16
Ndufa4l2	10	NDUFA4L2	12
Dpys	15	DPYS	8
Hoxa11	6	HOXA11	7
Mir199a-1	9	MIR199A1	19
Gm50253	17	ZBTB9	6
Clec10a	11	CLEC10A	17
Sema4a	3	SEMA4A	1
Siglech	7	SIGLEC6	19
Siglech	7	CD33	19
H3f3b	11	H3-3B	17
Kcnn4	7	KCNN4	19
Lrrtm1	6	LRRTM1	2
Olfr459	6	OR9A2	7
Ptprb	10	PTPRB	12
Hnrnpa3	2	HNRNPA3	2
Pramel11	4	PRAMEF12	1
Pramel11	4	PRAMEF15	1
Pramel11	4	PRAMEF14	1
Pramel11	4	PRAMEF19	1
Pramel11	4	PRAMEF17	1
Pramel11	4	PRAMEF20	1
Pramel11	4	PRAMEF27	1
Pramel11	4	PRAMEF25	1
Pramel11	4	PRAMEF9	1
Pramel11	4	PRAMEF26	1
Hspe1-rs1	18	HSPE1	2
Chrm1	19	CHRM1	11
AW209491	13	C7orf25	7
Gm23124	X	RNU6-861P	6
Clstn2	9	CLSTN2	3
Col11a1	3	COL11A1	1
Cyp2j13	4	CYP2J2	1
Gm44579	15	OR10AD1	12
Casc1	6	DNAI7	12
Gm22744	19		5
Aanat	11	AANAT	17
Nr5a2	1	NR5A2	1
Cd160	3	CD160	1
Snora64	17	SNORA64	16
Mdm4	1	MDM4	1
Gm25777	16	SNORA77	1
Myo19	11	MYO19	17
Ablim1	19	ABLIM1	10
Ccnl2	4	CCNL2	1
Fgf4	7	FGF4	11
Rab17	1	RAB17	2
Ap3b2	7	AP3B2	15
Rfc1	5	RFC1	4
Tle3	9	TLE3	15
Gm23975	4	RNU6-477P	5
Ctc1	11	CTC1	17
Krt18	15	KRT18	12
Borcs6	11	BORCS6	17
Ptbp1	10	PTBP1	19
Coq6	12	COQ6	14
Ctnna2	6	CTNNA2	2
Dap3	3	DAP3	1
Nudc	4	NUDC	1
Vmn1r54	6	VN1R5	1
Trpv2	11	TRPV2	17
Il34	8	IL34	16
Ubl5b	12	UBL5	19
Tspan11	6	TSPAN11	12
Ccdc173	2	CCDC173	2
Methig1	15	METTL7A	12
Yeats2	16	YEATS2	3
Odf3	7	ODF3	11
Sptssb	3	SPTSSB	3
Olfr834	9	OR7G3	19
Dkk4	8	DKK4	8
Mrpl58	11	MRPL58	17
Plekhm3	1	PLEKHM3	2
Usp31	7	USP31	16
Gm38392	3	RHBG	1
Gpr35	1	GPR35	2
Rsrc2	5	RSRC2	12
Tmub2	11	TMUB2	17
Zfp868	8		19
Pnliprp2	19	PNLIPRP2	10
Eef2kmt	16	FAM86B1	8
Eef2kmt	16	FAM86B2	8
Zdbf2	1	ZDBF2	2
Iffo1	6	IFFO1	12
Ggn	7	GGN	19
Zfp39	11	ZNF570	19
Zfp992	4	ZNF34	8
Acap2	16	ACAP2	3
Prl3d1	13	PRL	6
Ecsit	9	ECSIT	19
Zfp131	13	ZNF131	5
Ap2a2	7	AP2A2	11
Hlx	1	HLX	1
Cap1	4	CAP1	1
Zkscan6	11	ZNF18	17
Gm4303	10	ALYREF	17
Mvb12a	8	MVB12A	19
Rubcn	16	RUBCN	3
Oas1d	5	OAS1	12
Sncaip	18	SNCAIP	5
G3bp1	11	G3BP1	5
Klhl12	1	KLHL12	1
Mef2c	13	MEF2C	5
H2-Eb2	17	HLA-DRB5	6
H2-Eb2	17	HLA-DRB1	6
Gabpb1	2	GABPB1	15
Dusp23	1	DUSP23	1
Sap30bp	11	SAP30BP	17
Muc19	15	MUC19	12
Vps54	11	VPS54	2
Olfr1033	2	OR5M3	11
Fcrlb	1	FCRLB	1
Kri1	9	KRI1	19
Odf3l2	10	ODF3L2	19
Selp	1	SELP	1
Ccdc190	1	CCDC190	1
Prl8a2	13	PRL	6
Gm26329	15		1
Mtx1	3	MTX1	1
Calm2	17	CALM2	2
Mmp13	9	MMP13	11
Fbxw21	9	FBXW12	3
BC055324	1	C1orf112	1
Kif5c	2	KIF5C	2
Fcrls	3	FCRL2	1
Ttc30b	2	TTC30B	2
Ttc30b	2	TTC30A	2
	4	RN7SKP195	1
She	3	SHE	1
Gbp4	5	GBP6	1
Rasa4	5	RASA4	7
Rfx1	8	RFX1	19
Fdps	3	FDPS	1
Prim1	10		12
Prim1	10	PRIM1	12
Tnni1	1	TNNI1	1
Pira1	7	LILRA6	19
Pira1	7	LILRB5	19
Pira1	7	LILRB3	19
Pira1	7	LILRA5	19
Pira1	7	LILRA4	19
Polg2	11	POLG2	17
Rgs4	1	RGS4	1
Olfr1386	11	OR2Y1	5
Cd14	18	CD14	5
Phf1	17	PHF1	6
Zc3h6	2	ZC3H6	2
Nipa2	7	NIPA2	15
Olfr171	16	OR2AJ1	1
Ltbp4	7	LTBP4	19
Olfr403	11	OR1A2	17
Olfr403	11	OR1A1	17
Egr1	18	EGR1	5
Mitd1	1	MITD1	2
Wdr36	18	WDR36	5
Sass6	3	SASS6	1
Slc12a8	16	SLC12A8	3
Fes	7	FES	15
Gm49366	12	ACOT1	14
Gm49366	12	ACOT2	14
Mpp2	11	MPP2	17
Mcmdc2	1	MCMDC2	8
Olfr1224-ps1	2	OR4C15	11
C1rl	6	C1RL	12
Cyp4x1	4	CYP4X1	1
Mrgprb1	7	MRGPRX3	11
Mrgprb1	7	MRGPRX2	11
Mrgprb1	7	MRGPRX1	11
Prpf31	7	PRPF31	19
Ncapd3	9	NCAPD3	11
Foxn2	17	FOXN2	2
Il1r2	1	IL1R2	2
Avil	10	AVIL	12
Ankrd13b	11	ANKRD13B	17
Slc9a5	8	SLC9A5	16
Pglyrp3	3	PGLYRP3	1
Iho1	9	IHO1	3
Misp3	8	MISP3	19
Ikzf2	1	IKZF2	2
Gm49322	10	ADAT3	19
Ghsr	3	GHSR	3
Klf10	15	KLF10	8
Heatr5b	17	HEATR5B	2
Snord34	7	SNORD34	19
H4c4	13	H4C8	6
Cd1d2	3	CD1D	1
Leng1	7	LENG1	19
Gm22572	2	RNU6-704P	1
Dnajc11	4	DNAJC11	1
Cmtm2b	8	CMTM2	16
Tnnt1	7	TNNT1	19
Vgf	5	VGF	7
Sipa1	19	SIPA1	11
Myo3b	2	MYO3B	2
Rgs7	1	RGS7	1
Ptprq	10	PTPRQ	12
Srcap	7	SRCAP	16
Srcap	7		16
Agtr1a	13	AGTR1	3
Fbxw11	11	FBXW11	5
Olfr826	10	OR9K2	12
Eps8l3	3	EPS8L3	1
Ip6k2	9	IP6K2	3
Zpbp2	11	ZPBP2	17
Gm10272	10	KRTAP4-5	17
Taf3	2	TAF3	10
Tuba1a	15	TUBA1A	12
Defb42	14	DEFB136	8
Htr3b	9	HTR3B	11
Gfy	7	GFY	19
Zfp534	4	ZNF34	8
Pamr1	2	PAMR1	11
n-R5s138	8	RNA5S6	1
AA986860	1	C1orf116	1
Olfr196	16	OR5H8	3
Olfr196	16	OR5H1	3
Olfr196	16	OR5H14	3
Olfr196	16	OR5H6	3
Olfr196	16	OR5H2	3
Olfr196	16	OR5H15	3
Pithd1	4	PITHD1	1
Map2k7	8	MAP2K7	19
Rbm33	5	RBM33	7
Rpl38	11	RPL38	17
Adgrg7	16	ADGRG7	3
Olfr288	15	OR10AD1	12
Sh3tc2	18	SH3TC2	5
Cdk2ap2	19	CDK2AP2	11
Trim11	11	TRIM11	1
Tbcel	9	TBCEL	11
Rab43	6	RAB43	3
Klk4	7	KLK4	19
Nhlh1	1	NHLH1	1
Tas2r119	15	TAS2R1	5
Lrrc36	8	LRRC36	16
Cnpy2	10		12
Cnpy2	10	CNPY2	12
Olfr1502	19	OR9I1	11
Cers3	7	CERS3	15
Tgm5	2	TGM5	15
Gm26224	1		15
Acadm	3	ACADM	1
Sirt6	10	SIRT6	19
Nbeal1	1	NBEAL1	2
Rundc3a	11	RUNDC3A	17
Cdk10	8	CDK10	16
Rock2	12	ROCK2	2
Gm24175	6		1
Zcchc4	5	ZCCHC4	4
Casq2	3	CASQ2	1
Nkd1	8	NKD1	16
Csnk1a1	18	CSNK1A1	5
Gm22806	13		1
Appbp2	11	APPBP2	17
Adra2b	2	ADRA2B	2
Pira12	7	LILRA6	19
Pira12	7	LILRB5	19
Pira12	7	LILRB3	19
Pira12	7	LILRA5	19
Pira12	7	LILRA4	19
Imp3	9	IMP3	15
Gucy2e	11	GUCY2D	17
Heyl	4	HEYL	1
Lrrk2	15	LRRK2	12
Micos13	17	MICOS13	19
Mthfr	4	MTHFR	1
Cldn4	5	CLDN4	7
Slfn4	11	SLFN12	17
Slfn4	11	SLFN12L	17
Hexa	9		15
Hexa	9	HEXA	15
Nlrp10	7	NLRP10	11
Mib2	4	MIB2	1
Zfp882	8		19
Zfp882	8	ZNF700	19
Zfp882	8	ZNF878	19
Lad1	1	LAD1	1
Usp7	16	USP7	16
Prl8a9	13	PRL	6
Zfp689	7	ZNF689	16
Tigit	16	TIGIT	3
Acacb	5	ACACB	12
Gbf1	19	GBF1	10
Mrpl35	6	MRPL35	2
Col4a3	1	COL4A3	2
Pxt1	17	PXT1	6
Pcdhga2	18	PCDHGA2	5
Fignl2	15	FIGNL2	12
Ssbp2	13	SSBP2	5
Stac2	11	STAC2	17
Oprd1	4	OPRD1	1
Il5	11	IL5	5
Gm24686	5	RNU6-1227P	3
Gm24379	2		1
Kif22	7	KIF22	16
Gm24754	16	RNU6-804P	5
Tmem101	11	TMEM101	17
Marco	1	MARCO	2
Tmem52	4	TMEM52	1
Mtarc1	1	MTARC1	1
Mtarc1	1		1
Niban3	8	NIBAN3	19
Snord92	17	SNORD92	2
Vps13b	15	VPS13B	8
Zfp493	13	ZNF429	19
Vit	17	VIT	2
Slc66a1	4	SLC66A1	1
Slc12a7	13	SLC12A7	5
Tlcd3a	11	TLCD3A	17
Gm22455	9	SNORD18C	15
Vezt	10	VEZT	12
Sh3bp5	14	SH3BP5	3
Ahdc1	4	AHDC1	1
Npm2	14	NPM2	8
Acbd3	1	ACBD3	1
Zfp202	9	ZNF202	11
Slc30a5	13	SLC30A5	5
Dnajc5g	5	DNAJC5G	2
Rabl2	15	RABL2A	2
Tsg101	7	TSG101	11
Cd300lg	11	CD300LG	17
Actrt3	3	ACTRT3	3
Dnajc9	14	DNAJC9	10
Nat8f4	6	NAT8	2
Nat8f4	6	NAT8B	2
Ankrd17	5	ANKRD17	4
Zc3h12a	4	ZC3H12A	1
Tsen2	6	TSEN2	3
Mrgprb4	7	MRGPRX3	11
Mrgprb4	7	MRGPRX2	11
Mrgprb4	7	MRGPRX1	11
Helt	8	HELT	4
Alyref2	1	ALYREF	17
Jmjd6	11	JMJD6	17
Mir125a	17	MIR125A	19
Srebf1	11	SREBF1	17
Cdh16	8	CDH16	16
Gm13040	4	PRAMEF12	1
Gm13040	4	PRAMEF15	1
Gm13040	4	PRAMEF14	1
Gm13040	4	PRAMEF19	1
Gm13040	4	PRAMEF17	1
Gm13040	4	PRAMEF20	1
Gm13040	4	PRAMEF27	1
Gm13040	4	PRAMEF25	1
Gm13040	4	PRAMEF9	1
Gm13040	4	PRAMEF26	1
Utrn	10	UTRN	6
Arpc5	1	ARPC5	1
Psmc3ip	11	PSMC3IP	17
Ggcx	6	GGCX	2
Heatr6	11	HEATR6	17
Ms4a4c	19	MS4A4E	11
Mir497	11	MIR497	17
Grk6	13	GRK6	5
Usp19	9	USP19	3
Fcgrt	7	FCGRT	19
Utp15	13	UTP15	5
Rhbdd1	1	RHBDD1	2
Polr3c	3	POLR3C	1
Map3k19	1	MAP3K19	2
C030006K11Rik	15	C8orf82	8
Cep120	18	CEP120	5
Ssc5d	7	SSC5D	19
Gm13305	4		9
Gm13305	4	IL11RA	9
Mroh9	1	MROH9	1
Apoc4	7	APOC4	19
Olfr790	10	OR6C75	12
Nr4a2	2	NR4A2	2
Olfr1391	11	OR2Y1	5
Mir293	7	MIR371A	19
Rpl8	15	RPL8	8
Mrpl27	11	MRPL27	17
Stk40	4	STK40	1
Ttll13	7	TTLL13P	15
Ttll13	7		15
Gm5724	6	SLCO1A2	12
Pcdha5	18	PCDHA5	5
Cacna1d	14	CACNA1D	3
Zc3h3	15	ZC3H3	8
Crebzf	7	CREBZF	11
Prkaa2	4	PRKAA2	1
Flrt1	19	FLRT1	11
Gm49355	14	C3orf14	3
Sik3	9	SIK3	11
Pitpnc1	11	PITPNC1	17
Snord3b-ps1	19		3
Thrb	14	THRB	3
Pld1	3	PLD1	3
Zfp266	9	ZNF266	19
Sytl3	17	SYTL3	6
Pcp2	8	PCP2	19
Them4	3	THEM4	1
Liph	16	LIPH	3
Ehhadh	16	EHHADH	3
Zscan21	5	ZSCAN21	7
Tac4	11	TAC4	17
Nol6	4	NOL6	9
Txndc9	1	TXNDC9	2
Acsf2	11	ACSF2	17
Gls	1	GLS	2
Gm42417	1	ANKRD23	2
Stn1	19	STN1	10
Pea15a	1	PEA15	1
Syne1	10	SYNE1	6
Qpct	17	QPCT	2
Vmn1r45	6	VN1R5	1
Arl16	11	ARL16	17
Npr1	3	NPR1	1
Sap130	18	SAP130	2
Cmtm4	8	CMTM4	16
Abcb5	12	ABCB5	7
Stradb	1	STRADB	2
Atp8b3	10	ATP8B3	19
Fabp9	3	FABP9	8
Cystm1	18	CYSTM1	5
Tent5b	4	TENT5B	1
Phlpp2	8	PHLPP2	16
1700013F07Rik	3	C1orf194	1
Rpsa	9	RPSAP58	19
Rpsa	9	RPSA	3
Gm49380	9	RNF26	11
Kbtbd2	6	KBTBD2	7
Gm23545	15	RNU6-750P	1
Pramel15	4	PRAMEF12	1
Pramel15	4	PRAMEF15	1
Pramel15	4	PRAMEF14	1
Pramel15	4	PRAMEF19	1
Pramel15	4	PRAMEF17	1
Pramel15	4	PRAMEF20	1
Pramel15	4	PRAMEF27	1
Pramel15	4	PRAMEF25	1
Pramel15	4	PRAMEF9	1
Pramel15	4	PRAMEF26	1
Gm26324	11	RNU6-487P	1
Smc4	3	SMC4	3
Fam102b	3	FAM102B	1
Xcl1	1	XCL2	1
Xcl1	1	XCL1	1
Gm23412	4	RNU6-547P	3
Cmtm2a	8	CMTM2	16
Glmn	5	GLMN	1
Gm25582	9		2
Mxd3	13	MXD3	5
Fat1	8	FAT1	4
Cfap126	1	CFAP126	1
Gimap5	6	GIMAP5	7
Esyt1	10	ESYT1	12
Aqp7	4	AQP7	9
Nlrc4	17	NLRC4	2
Sec24a	11	SEC24A	5
Mrpl51	6	MRPL51	12
Gm22287	X	RNU6-681P	3
Nab1	1	NAB1	2
Fam111a	19	FAM111A	11
Rfx8	1	RFX8	2
Btn2a2	13	BTN2A2	6
Gorasp1	9	GORASP1	3
Cacnb1	11	CACNB1	17
Defa43	8	DEFA1	8
Defa43	8	DEFA1B	8
Cchcr1	17	CCHCR1	6
Pak2	16	PAK2	3
Ccdc181	1	CCDC181	1
Sft2d3	18	SFT2D3	2
Phf13	4	PHF13	1
Tmem235	11	TMEM235	17
Smtnl1	2	SMTNL1	11
Atxn2l	7	ATXN2L	16
Atcay	10	ATCAY	19
BC034090	1	KIAA1614	1
Olfr17	7	OR10A4	11
Psenen	7	PSENEN	19
Psenen	7		19
Arhgap35	7	ARHGAP35	19
Cfap65	1	CFAP65	2
Gm3238	10	KRTAP4-5	17
Gm3238	10	KRTAP9-1	17
Hoxd3	2	HOXD3	2
Tcaim	9	TCAIM	3
Zfp273	13	ZNF429	19
Psmc4	7	PSMC4	19
H4c14	3	H4C14	1
Dpp3	19	DPP3	11
Olfr1459	19	OR5B3	11
Clcn1	6	CLCN1	7
Mbd5	2	MBD5	2
Ano1	7	ANO1	11
Pfkfb4	9	PFKFB4	3
Panx1	9	PANX1	11
Nova2	7	NOVA2	19
Vmn1r49	6	VN1R5	1
	1	RN7SKP296	3
Pcdhac1	18	PCDHAC1	5
Vmn1r50	6	VN1R5	1
Fbxl15	19	FBXL15	10
Stap2	17	STAP2	19
Dcaf7	11	DCAF7	17
Dcaf7	11		17
Try4	6	PRSS1	7
Try4	6	PRSS2	7
Pcdhgc5	18	PCDHGC5	5
Fam71f2	6	FAM71F2	7
Vdac3	8	VDAC3	8
Reg4	3	REG4	1
Igkv8-19	6	IGKV4-1	2
Ccdc9b	2	CCDC9B	15
Kif18b	11	KIF18B	17
Tra2b	16	TRA2B	3
Ccdc30	4	CCDC30	1
Gm24871	1	RNU5E-1	1
Gnl1	17	GNL1	6
Nfu1	6	NFU1	2
Csk	9	CSK	15
Rnf213	11	RNF213	17
Ngef	1	NGEF	2
Ak2	4	AK2	1
Bhlha9	11	BHLHA9	17
Mill2	7	MICA	6
Gpx6	13	GPX6	6
Ptprs	17	PTPRS	19
Gapdh	6	GAPDH	12
Rptn	3	RPTN	1
1810013L24Rik	16	C16orf72	16
	5	RN7SKP49	1
Stk11ip	1	STK11IP	2
Slc30a8	15	SLC30A8	8
Flad1	3	FLAD1	1
Tyw5	1	TYW5	2
Slc10a7	8	SLC10A7	4
Clcc1	3	CLCC1	1
Grik2	10	GRIK2	6
Rtbdn	8	RTBDN	19
Ttll4	1	TTLL4	2
Tut1	19	TUT1	11
Stx12	4	STX12	1
Cit	5	CIT	12
Zfp946	17	ZNF34	8
Slc11a1	1	SLC11A1	2
Smg8	11	SMG8	17
Sh3gl1	17	SH3GL1	19
Krt32	11	KRT32	17
Lyl1	8	LYL1	19
Cyth2	7		19
Cyth2	7	CYTH2	19
Spink14	18	SPINK14	5
Ropn1	16	ROPN1B	3
Ropn1	16	ROPN1	3
Gm26253	11	RNU6-221P	2
Gm26253	11	RNU6-775P	2
Tmem43	6	TMEM43	3
Gm26437	X	RNU6-608P	1
Tapbpl	6	TAPBPL	12
	5	RNU6-425P	3
	5	RNU6-1273P	12
Pa2g4	10		12
Pa2g4	10	PA2G4	12
Rps15	10	RPS15	19
Fkbp7	2	FKBP7	2
Asah2	19	ASAH2	10
Slc25a2	18	SLC25A2	5
Vmn1r43	6	VN1R5	1
Gm45753	8	CYP4V2	4
Lingo4	3	LINGO4	1
Muc13	16	MUC13	3
Wnt2b	3	WNT2B	1
Ruvbl2	7	RUVBL2	19
Trim33	3	TRIM33	1
Gabrb2	11	GABRB2	5
R3hdm2	10	R3HDM2	12
Fpr3	17	FPR2	19
Pirt	11	PIRT	17
Cacna1e	1	CACNA1E	1
Olfr828	9	OR7G2	19
Gad1	2	GAD1	2
Cog4	8	COG4	16
Cdh5	8	CDH5	16
Zfp114	7	ZNF233	19
Actl6a	3	ACTL6A	3
Fam89a	8	FAM89A	1
Gm25038	16		2
Samd14	11	SAMD14	17
Olfr437	6	OR2A2	7
Stpg3	2	STPG3	9
Ido1	8	IDO1	8
Tdrp	8	TDRP	8
Lrrc71	3	LRRC71	1
Zkscan3	13	ZKSCAN4	6
Gm3286	5	PRAMEF12	1
Gm3286	5	PRAMEF15	1
Gm3286	5	PRAMEF14	1
Gm3286	5	PRAMEF19	1
Gm3286	5	PRAMEF17	1
Gm3286	5	PRAMEF20	1
Gm3286	5	PRAMEF27	1
Gm3286	5	PRAMEF25	1
Gm3286	5	PRAMEF9	1
Gm3286	5	PRAMEF26	1
Trim30d	7	TRIM5	11
Cnnm4	1	CNNM4	2
Gm22502	2	RNU6-1180P	2
Ccdc47	11	CCDC47	17
Snapin	3	SNAPIN	1
Evi5	5	EVI5	1
Kcnk1	8	KCNK1	1
Gm9508	10	KRTAP4-5	17
Gm9508	10	KRTAP9-1	17
Gm24568	8		3
Olfr765	10	OR2AP1	12
Cep72	13	CEP72	5
Erbb2	11	ERBB2	17
Klk1b4	7	KLK3	19
Actn4	7	ACTN4	19
Smco2	6	SMCO2	12
Pla2g2a	4	PLA2G2A	1
Zfp579	7	ZNF579	19
Arhgef2	3	ARHGEF2	1
Olfr678	7	OR52E5	11
Tmem70	1	TMEM70	8
Sbk2	7	SBK2	19
Adamts19	18	ADAMTS19	5
Gm23941	3	RNU6-249P	12
Tmem216	19	TMEM216	11
Myog	1	MYOG	1
U2surp	9	U2SURP	3
Sde2	1	SDE2	1
Krtap16-1	11	KRTAP16-1	17
Snord2	16	SNORD2	3
Taf13	3	TAF13	1
Lrrd1	5	LRRD1	7
Plekhb2	1	PLEKHB2	2
	7	SNORD33	19
Tmcc2	1	TMCC2	1
Mcph1	8	MCPH1	8
Mmadhc	2	MMADHC	2
Itprid1	6	ITPRID1	7
Slc30a7	3	SLC30A7	1
Csnk2a2	8	CSNK2A2	16
Ppp1r27	11	PPP1R27	17
Akap9	5	AKAP9	7
Aadacl4	4	AADACL4	1
Rxfp4	3	RXFP4	1
Gm25813	8	RNU2-64P	3
Gm25813	8	RNU2-19P	1
Pwwp2a	11	PWWP2A	5
Lamtor4	5	LAMTOR4	7
Stk36	1	STK36	2
Gbp6	5	GBP6	1
Amotl2	9	AMOTL2	3
Ldhb	6	LDHB	12
Tra2a	6	TRA2A	7
S100pbp	4	S100PBP	1
Ap3m2	8	AP3M2	8
Stag3	5	STAG3	7
Cap2	13	CAP2	6
Rab7	6	RAB7A	3
Adamts17	7	ADAMTS17	15
Chmp6	11	CHMP6	17
Ppy	11	PPY	17
Gemin4	11	GEMIN4	17
Fbxo38	18	FBXO38	5
Acer2	4	ACER2	9
Arhgap11a	2	ARHGAP11A	15
Arhgap11a	2		15
Arhgap11a	2	ARHGAP11B	15
Kif14	1	KIF14	1
Gabpb2	3	GABPB2	1
Ap1m2	9	AP1M2	19
Sema6b	17	SEMA6B	19
Zfp688	7	ZNF688	16
Nat8f5	6	NAT8	2
Nat8f5	6	NAT8B	2
Ddx23	15	DDX23	12
Myadml2	11	MYADML2	17
Zbtb17	4	ZBTB17	1
Vsx2	12	VSX2	14
Olfr715b	7	OR2D2	11
Gm525	11	C17orf67	17
Best2	8	BEST2	19
Alkbh7	17	ALKBH7	19
Adgrg3	8	ADGRG3	16
	13	RN7SKP164	2
	13	RN7SKP91	1
Mir103-1	11	MIR103A1	5
	4	KLHL17	1
