mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome	human_gene_symbol_unique	human_chromosome_unique	entity_type	category	parent	consensus_score	database_cs	database_tf
Zcchc9	13	ZCCHC9	5	ZCCHC9	5	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Zcrb1	15	ZCRB1	12	ZCRB1	12	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zcwpw1	5	ZCWPW1	7	ZCWPW1	7	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, LOCATE, OmniPath	NA
Zcwpw2	9	ZCWPW2	3	ZCWPW2	3	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, ComPPI	NA
Zdbf2	1	ZDBF2	2	ZDBF2	2	protein	intracellular	intracellular	2	GO_Intercell, OmniPath, ComPPI	NA
Zdhhc1	8	ZDHHC1	16	ZDHHC1	16	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	UniProt, Ramilowski_location, OmniPath, ComPPI, GO_Intercell, Phobius	NA
Zdhhc11	13	ZDHHC11, ZDHHC11B	5	ZDHHC11	5	protein	intracellular, cell_surface_enzyme, transmembrane, cell_surface	intracellular, cell_surface_enzyme, transmembrane_predicted, transmembrane, cell_surface	4	ComPPI, OmniPath, Phobius, GO_Intercell, Ramilowski_location, UniProt, Surfaceome	NA
Zdhhc12	2	ZDHHC12	9	ZDHHC12	9	protein	transmembrane, intracellular	transmembrane, transmembrane_predicted, intracellular	4	OmniPath, Ramilowski_location, Phobius, UniProt, GO_Intercell, ComPPI	NA
Zdhhc13	7	ZDHHC13	11	ZDHHC13	11	protein	transmembrane, intracellular	transmembrane_predicted, intracellular, transmembrane	4	Phobius, GO_Intercell, UniProt, ComPPI, Ramilowski_location, OmniPath	NA
Zdhhc14	17	ZDHHC14	6	ZDHHC14	6	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	GO_Intercell, UniProt, ComPPI, Phobius, Ramilowski_location, OmniPath	NA
Zdhhc15	X	ZDHHC15	X	ZDHHC15	X	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	UniProt, ComPPI, Ramilowski_location, GO_Intercell, OmniPath, LOCATE, Phobius	NA
Zdhhc16	19	ZDHHC16	10	ZDHHC16	10	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	5	UniProt, ComPPI, GO_Intercell, Ramilowski_location, OmniPath, Phobius, LOCATE	NA
Zdhhc17	10	ZDHHC17	12	ZDHHC17	12	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	6	OmniPath, LOCATE, UniProt, Phobius, ComPPI, GO_Intercell, Ramilowski_location, TopDB	NA
Zdhhc18	4	ZDHHC18	1	ZDHHC18	1	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	ComPPI, GO_Intercell, UniProt, Phobius, Ramilowski_location, OmniPath	NA
Zdhhc19	16	ZDHHC19	3	ZDHHC19	3	protein	intracellular, transmembrane	intracellular, transmembrane_predicted, transmembrane	4	GO_Intercell, Phobius, OmniPath, UniProt, Ramilowski_location	NA
Zdhhc2	8	ZDHHC2	8	ZDHHC2	8	protein	transmembrane, intracellular, plasma_membrane	transmembrane, transmembrane_predicted, intracellular, plasma_membrane	4	UniProt, OmniPath, Phobius, Ramilowski_location, GO_Intercell	NA
Zdhhc20	14	ZDHHC20	13	ZDHHC20	13	protein	intracellular, transmembrane, plasma_membrane	intracellular, transmembrane_predicted, transmembrane, plasma_membrane	4	OmniPath, Phobius, UniProt, GO_Intercell, Ramilowski_location	NA
Zdhhc21	4	ZDHHC21	9	ZDHHC21	9	protein	plasma_membrane, intracellular, transmembrane	plasma_membrane, intracellular, transmembrane, transmembrane_predicted	4	OmniPath, UniProt, ComPPI, Ramilowski_location, Phobius, GO_Intercell	NA
Zdhhc22	12	ZDHHC22	14	ZDHHC22	14	protein	transmembrane, intracellular	transmembrane_predicted, transmembrane, intracellular	4	Phobius, UniProt, OmniPath, Ramilowski_location, GO_Intercell	NA
Zdhhc23	16	ZDHHC23	3	ZDHHC23	3	protein	intracellular, transmembrane	intracellular, transmembrane_predicted, transmembrane	4	GO_Intercell, ComPPI, Phobius, OmniPath, UniProt, Ramilowski_location	NA
Zdhhc24	19	ZDHHC24	11	ZDHHC24	11	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	ComPPI, OmniPath, UniProt, Ramilowski_location, GO_Intercell, Phobius	NA
Zdhhc3	9	ZDHHC3	3	ZDHHC3	3	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	5	UniProt, OmniPath, Phobius, LOCATE, GO_Intercell, Ramilowski_location	NA
Zdhhc4	5	ZDHHC4	7	ZDHHC4	7	protein	intracellular, transmembrane, plasma_membrane	intracellular, transmembrane, plasma_membrane, transmembrane_predicted	4	ComPPI, OmniPath, UniProt, GO_Intercell, Ramilowski_location, Phobius	NA
Zdhhc5	2	ZDHHC5	11	ZDHHC5	11	protein	intracellular, cell_surface, transmembrane, plasma_membrane, plasma_membrane_transmembrane, cell_surface_enzyme	intracellular, cell_surface, transmembrane_predicted, transmembrane, plasma_membrane, plasma_membrane_transmembrane, cell_surface_enzyme	4	GO_Intercell, OmniPath, Phobius, ComPPI, UniProt, Surfaceome, Ramilowski_location, CSPA	NA
Zdhhc6	19	ZDHHC6	10	ZDHHC6	10	protein	intracellular, transmembrane	intracellular, transmembrane_predicted, transmembrane	4	GO_Intercell, Phobius, Ramilowski_location, OmniPath, UniProt	NA
Zdhhc7	8	ZDHHC7	16	ZDHHC7	16	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	OmniPath, UniProt, Ramilowski_location, GO_Intercell, Phobius	NA
Zdhhc8	16	ZDHHC8	22	ZDHHC8	22	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	OmniPath, ComPPI, UniProt, Phobius, Ramilowski_location, GO_Intercell, LOCATE	NA
Zdhhc9	X	ZDHHC9	X	ZDHHC9	X	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	OmniPath, UniProt, GO_Intercell, Phobius, Ramilowski_location, ComPPI	NA
Zeb1	18	ZEB1	10	ZEB1	10	protein	intracellular, transmembrane	intracellular, transmembrane	3	ComPPI, OmniPath, UniProt, LOCATE, GO_Intercell	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;GEREDB_CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;CytReg_CollecTRI;ARACNe-GTEx_DoRothEA;ORegAnno_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;ENCODE-distal;JASPAR_DoRothEA;SIGNOR;ENCODE-proximal;ORegAnno
Zeb2	2	ZEB2	2	ZEB2	2	protein	intracellular	intracellular	3	LOCATE, GO_Intercell, ComPPI, OmniPath, UniProt	CollecTRI;DoRothEA;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;ORegAnno;ORegAnno_DoRothEA;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;GEREDB_CollecTRI;ARACNe-GTEx_DoRothEA;GOA_CollecTRI;IntAct_CollecTRI;IntAct_DoRothEA
Zer1	2	ZER1	9	ZER1	9	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
Zfand1	3	ZFAND1	8	ZFAND1	8	protein	intracellular	intracellular	3	ComPPI, OmniPath, UniProt, GO_Intercell	NA
Zfand2a	5	ZFAND2A	7	ZFAND2A	7	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfand2b	1	ZFAND2B	2	ZFAND2B	2	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
Zfand3	17	ZFAND3	6	ZFAND3	6	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
Zfand4	6	ZFAND4	10	ZFAND4	10	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
Zfand5	19	ZFAND5	9	ZFAND5	9	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Zfand6	7	ZFAND6	15	ZFAND6	15	protein	intracellular, transmembrane	intracellular, transmembrane	3	GO_Intercell, LOCATE, ComPPI, OmniPath, UniProt	NA
Zfat	15	ZFAT	8	ZFAT	8	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt	CollecTRI;GEREDB_CollecTRI
Zfc3h1	10	ZFC3H1	12	ZFC3H1	12	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Zfhx2	14	ZFHX2	14	ZFHX2	14	protein	intracellular	intracellular	3	ComPPI, OmniPath, UniProt, GO_Intercell	CollecTRI;ExTRI_CollecTRI
Zfhx3	8	ZFHX3	16	ZFHX3	16	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfhx4	3	ZFHX4	8	ZFHX4	8	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	CollecTRI;ExTRI_CollecTRI
Zfp1	8	ZFP1	16	ZFP1	16	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	CollecTRI;ExTRI_CollecTRI
Zfp101	17	ZNF700, ZNF878	19	ZNF700	19	protein	intracellular	intracellular	2	UniProt, OmniPath, GO_Intercell	NA
Zfp105	9	ZNF35	3	ZNF35	3	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Zfp106	2	ZNF106	15	ZNF106	15	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp108	7	ZNF233	19	ZNF233	19	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Zfp109	7	ZNF233	19	ZNF233	19	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Zfp11	5	ZNF345	19	ZNF345	19	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Zfp110	7	ZNF274	19	ZNF274	19	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Zfp112	7	ZNF112	19	ZNF112	19	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp113	5	ZNF460	19	ZNF460	19	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Zfp114	7	ZNF233	19	ZNF233	19	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Zfp12	5	ZNF12	7	ZNF12	7	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp128	7	ZNF8	19	ZNF8	19	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Zfp13	17	ZNF205	16	ZNF205	16	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;GOA_CollecTRI
Zfp131	13	ZNF131	5	ZNF131	5	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp14	7	ZFP14	19	ZFP14	19	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Zfp142	1	ZNF142	2	ZNF142	2	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt	NA
Zfp143	7	ZNF143	11	ZNF143	11	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp146	7	ZNF146	19	ZNF146	19	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Zfp148	16	ZNF148	3	ZNF148	3	protein	intracellular	intracellular	3	OmniPath, UniProt, LOCATE, GO_Intercell, ComPPI	NA
Zfp160	17	ZNF160, ZNF665	19	ZNF160	19	protein	intracellular	intracellular	3	ComPPI, OmniPath, UniProt, GO_Intercell	NA
Zfp169	13	ZNF169	9	ZNF169	9	protein	intracellular	intracellular	3	UniProt, ComPPI, GO_Intercell, OmniPath	NA
Zfp174	16	ZNF174	16	ZNF174	16	protein	intracellular	intracellular	3	UniProt, LOCATE, ComPPI, GO_Intercell, OmniPath	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI
Zfp180	7	ZNF180	19	ZNF180	19	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp182	X	ZNF182	X	ZNF182	X	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp185	X	ZNF185	X	ZNF185	X	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp189	4	ZNF189	9	ZNF189	9	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA
Zfp2	11	ZFP2	5	ZFP2	5	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Zfp202	9	ZNF202	11	ZNF202	11	protein	intracellular	intracellular	3	UniProt, ComPPI, GO_Intercell, OmniPath	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;ARACNe-GTEx_DoRothEA;SIGNOR_CollecTRI;GOA_CollecTRI
Zfp207	11	ZNF207	17	ZNF207	17	protein	intracellular	intracellular	3	LOCATE, UniProt, ComPPI, OmniPath, GO_Intercell	NA
Zfp212	6	ZNF212	7	ZNF212	7	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp213	17	ZNF213	16	ZNF213	16	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, LOCATE, UniProt	NA
Zfp217	2	ZNF217	20	ZNF217	20	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath, LOCATE	NA
Zfp219	14	ZNF219	14	ZNF219	14	protein	intracellular, transmembrane	intracellular, transmembrane	3	OmniPath, LOCATE, GO_Intercell, UniProt, ComPPI	NA
Zfp235	7	ZNF233	19	ZNF233	19	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Zfp236	18	ZNF236	18	ZNF236	18	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp239	6	ZNF239	10	ZNF239	10	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp24	18	ZNF24	18	ZNF24	18	protein	intracellular	intracellular	3	GO_Intercell, LOCATE, OmniPath, UniProt, ComPPI	NA
Zfp248	6	ZNF248	10	ZNF248	10	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp251	15	ZNF251	8	ZNF251	8	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, GO_Intercell	NA
Zfp260	7	ZNF260	19	ZNF260	19	protein	intracellular	intracellular	3	UniProt, OmniPath, GO_Intercell, ComPPI	NA
Zfp263	16	ZNF263	16	ZNF263	16	protein	intracellular	intracellular	3	UniProt, OmniPath, GO_Intercell, ComPPI	NA
Zfp266	9	ZNF266	19	ZNF266	19	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell, LOCATE	NA
Zfp273	13	ZNF195, ZNF429	11, 19	ZNF195	11	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp276	8	ZNF276	16	ZNF276	16	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp277	12	ZNF277	7	ZNF277	7	protein	intracellular	intracellular	3	GO_Intercell, UniProt, OmniPath, ComPPI	NA
Zfp28	7	ZFP28	19	ZFP28	19	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Zfp280b	10	ZNF280B	22	ZNF280B	22	protein	intracellular	intracellular	3	LOCATE, OmniPath, UniProt, ComPPI, GO_Intercell	NA
Zfp280c	X	ZNF280C	X	ZNF280C	X	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Zfp280d	9	ZNF280D	15	ZNF280D	15	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp281	1	ZNF281	1	ZNF281	1	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Zfp282	6	ZNF282	7	ZNF282	7	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp286	11	ZNF286A	17	ZNF286A	17	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt	NA
Zfp287	11	ZNF287	17	ZNF287	17	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Zfp292	4	ZNF292	6	ZNF292	6	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp296	7	ZNF296	19	ZNF296	19	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp3	11	ZFP3	17	ZFP3	17	protein	intracellular	intracellular	2	UniProt, OmniPath, GO_Intercell	NA
Zfp30	7	ZFP30	19	ZFP30	19	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
Zfp316	5	ZNF316	7	ZNF316	7	protein	intracellular	intracellular	2	OmniPath, UniProt, GO_Intercell	NA
Zfp317	9	ZNF317	19	ZNF317	19	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp318	17	ZNF318	6	ZNF318	6	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Zfp319	8	ZNF319	16	ZNF319	16	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Zfp322a	13	ZNF322	6	ZNF322	6	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp324	7	ZNF324, ZNF324B	19	ZNF324	19	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp326	5	ZNF326	1	ZNF326	1	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Zfp329	7	ZNF329	19	ZNF329	19	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Zfp330	8	ZNF330	4	ZNF330	4	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	NA
Zfp334	2	ZNF334	20	ZNF334	20	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, UniProt, OmniPath	NA
Zfp335	2	ZNF335	20	ZNF335	20	protein	intracellular	intracellular	3	UniProt, LOCATE, OmniPath, ComPPI, GO_Intercell	NA
Zfp341	2	ZNF341	20	ZNF341	20	protein	intracellular	intracellular	3	OmniPath, UniProt, LOCATE, GO_Intercell, ComPPI	NA
Zfp346	13	ZNF346	5	ZNF346	5	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, UniProt, LOCATE	NA
Zfp352	4	KLF18	1	KLF18	1	protein	intracellular	intracellular	2	UniProt, GO_Intercell, OmniPath	NA
Zfp354a	11	ZNF354A	5	ZNF354A	5	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Zfp354b	11	ZNF354B	5	ZNF354B	5	protein	intracellular	intracellular	3	GO_Intercell, UniProt, OmniPath, ComPPI	NA
Zfp354c	11	ZNF354C	5	ZNF354C	5	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp358	8	ZNF358	19	ZNF358	19	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	3	UniProt, OmniPath, Phobius, Ramilowski_location, ComPPI, GO_Intercell	NA
Zfp36	7	ZFP36	19	ZFP36	19	protein	intracellular	intracellular	3	OmniPath, ComPPI, LOCATE, UniProt, GO_Intercell	HTRIdb
Zfp362	4	ZNF362	1	ZNF362	1	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	CollecTRI;ExTRI_CollecTRI
Zfp365	10	ZNF365	10	ZNF365	10	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp366	13	ZNF366	5	ZNF366	5	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, UniProt, OmniPath	NA
Zfp367	13	ZNF367	9	ZNF367	9	protein	intracellular	intracellular	2	GO_Intercell, UniProt, OmniPath	NA
Zfp369	13	ZNF274	19	ZNF274	19	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Zfp36l1	12	ZFP36L1	14	ZFP36L1	14	protein	intracellular	intracellular	3	LOCATE, OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp36l2	17	ZFP36L2	2	ZFP36L2	2	protein	intracellular	intracellular	3	LOCATE, OmniPath, UniProt, GO_Intercell, ComPPI	NA
Zfp37	4	ZFP37	9	ZFP37	9	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Zfp382	7	ZNF382	19	ZNF382	19	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp383	7	ZNF383	19	ZNF383	19	protein	intracellular	intracellular	3	GO_Intercell, UniProt, OmniPath, ComPPI	CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA
Zfp384	6	ZNF384	12	ZNF384	12	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Zfp385a	15	ZNF385A	12	ZNF385A	12	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Zfp385b	2	ZNF385B	2	ZNF385B	2	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp385c	11	ZNF385C	17	ZNF385C	17	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt	NA
Zfp39	11	ZNF570	19	ZNF570	19	protein	intracellular	intracellular	2	GO_Intercell, OmniPath, UniProt	NA
Zfp395	14	ZNF395	8	ZNF395	8	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI
Zfp397	18	ZNF397	18	ZNF397	18	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Zfp398	6	ZNF398	7	ZNF398	7	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	CollecTRI;ExTRI_CollecTRI;DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA
Zfp407	18	ZNF407	18	ZNF407	18	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Zfp408	2	ZNF408	11	ZNF408	11	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Zfp41	15	ZFP41	8	ZFP41	8	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Zfp410	12	ZNF410	14	ZNF410	14	protein	intracellular	intracellular	3	UniProt, ComPPI, GO_Intercell, LOCATE, OmniPath	NA
Zfp414	17	ZNF414	19	ZNF414	19	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, GO_Intercell	NA
Zfp42	8	ZFP42	4	ZFP42	4	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI
Zfp422	6	ZNF22	10	ZNF22	10	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, UniProt	NA
Zfp423	8	ZNF423	16	ZNF423	16	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, LOCATE, UniProt, OmniPath	NA
Zfp426	9	ZNF426	19	ZNF426	19	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Zfp428	7	ZNF428	19	ZNF428	19	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
Zfp429	13	ZNF195, ZNF429	11, 19	ZNF195	11	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp438	18	ZNF438	10	ZNF438	10	protein	intracellular	intracellular	3	UniProt, OmniPath, GO_Intercell, ComPPI	NA
Zfp444	7	ZNF444	19	ZNF444	19	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, UniProt, ComPPI	NA
Zfp445	9	ZNF445	3	ZNF445	3	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, LOCATE, UniProt	NA
Zfp446	7	ZNF446	19	ZNF446	19	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, UniProt	NA
Zfp449	X	ZNF449	X	ZNF449	X	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Zfp451	1	ZNF451	6	ZNF451	6	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, LOCATE, GO_Intercell	NA
Zfp454	11	ZNF454	5	ZNF454	5	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt	NA
Zfp455	13	ZNF195, ZNF429	11, 19	ZNF195	11	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp456	13	ZNF195, ZNF429	11, 19	ZNF195	11	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp457	13	ZNF678, ZNF681, ZNF682, ZNF695, ZNF724, ZNF727, ZNF736, ZNF738, ZNF85	1, 19, 7	ZNF678	1	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Zfp458	13	ZNF845	19	ZNF845	19	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Zfp459	13	ZNF845	19	ZNF845	19	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Zfp46	4	ZNF436	1	ZNF436	1	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	NA
Zfp462	4	ZNF462	9	ZNF462	9	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp467	6	ZNF467	7	ZNF467	7	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Zfp469	8	ZNF469	16	ZNF469	16	protein	intracellular	intracellular	3	GO_Intercell, UniProt, OmniPath, ComPPI	NA
Zfp472	17	ZNF700, ZNF878	19	ZNF700	19	protein	intracellular	intracellular	2	UniProt, OmniPath, GO_Intercell	NA
Zfp473	7	ZNF473	19	ZNF473	19	protein	intracellular	intracellular	3	ComPPI, OmniPath, UniProt, GO_Intercell	NA
Zfp474	18	ZNF474	5	ZNF474	5	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
Zfp488	14	ZNF488	10	ZNF488	10	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Zfp493	13	ZNF195, ZNF429	11, 19	ZNF195	11	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Zfp503	14	ZNF503	10	ZNF503	10	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
